2019/06/06 07:35:18 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:21 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:25 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:28 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:31 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:34 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:39 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:35:46 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:36:01 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/06 07:36:28 [emerg] 1#1: host not found in upstream "php2" in /etc/nginx/conf.d/default.conf:56
2019/06/07 10:06:06 [error] 7#7: *18630 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18529 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18529 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18529 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18529 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18538 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18538 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18538 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18538 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18540 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18540 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18540 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18540 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18537 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18537 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18537 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18537 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18543 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18543 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18543 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18543 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18544 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18544 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18544 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18544 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18539 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18539 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18539 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18539 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18546 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18546 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:81/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18546 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18546 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18549 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18549 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:82/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18549 no live upstreams while connecting to upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18549 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://test/", host: "127.0.0.1"
2019/06/07 10:06:06 [error] 8#8: *18547 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
2019/06/07 10:06:06 [warn] 8#8: *18547 upstream server temporarily disabled while reading response header from upstream, client: 192.168.166.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://192.168.166.5:83/", host: "127.0.0.1"
